#,Date,Match,Ligue,Pays
137,02-01,Club America vs Necaxa,Liga MX,Mexico
138,02-01,Leon vs Tigres UANL,Liga MX,Mexico
,, ROMANIA (3 matchs),,
139,02-01,FCSB vs Csikszereda,Liga I,Romania
140,02-01,Farul Constanta vs Universitatea Craiova,Liga I,Romania
141,02-04,Uta Arad vs CFR 1907 Cluj,Liga I,Romania
,, TURKEY (3 matchs),,
142,02-01,Boluspor vs Sakaryaspor,1. Lig,Turkey
143,02-01,Genclerbirligi vs Gazişehir Gaziantep,Süper Lig,Turkey
144,02-02,Erokspor vs Ümraniyespor,1. Lig,Turkey
,, ARGENTINA (2 matchs),,
145,02-01,Atletico Tucuman vs Huracan,Liga Profesional Argentina,Argentina
146,02-02,Tigre vs Racing Club,Liga Profesional Argentina,Argentina
,, AUSTRALIA (2 matchs),,
147,02-07,Brisbane Roar vs Central Coast Mariners,A-League,Australia
148,02-08,Adelaide United vs Newcastle Jets,A-League,Australia
,, ITALY (2 matchs),,
149,02-03,Bologna vs AC Milan,Serie A,Italy
150,02-06,Cesena vs Pescara,Serie B,Italy
,, PORTUGAL (2 matchs),,
151,02-01,Sporting CP vs Nacional,Primeira Liga,Portugal
152,02-06,FC Porto B vs Academico Viseu,Segunda Liga,Portugal
,, WORLD (2 matchs),,
153,02-01,Azam vs Nairobi United,CAF Confederation Cup,World
154,02-01,Olympique Safi vs San-Pédro,CAF Confederation Cup,World
,, AUSTRIA (1 matchs),,
155,02-06,Red Bull Salzburg vs Austria Vienna,Bundesliga,Austria
,, BELGIUM (1 matchs),,
156,02-01,Union St. Gilloise vs Club Brugge KV,Jupiler Pro League,Belgium
,, CROATIA (1 matchs),,
157,02-02,Dinamo Zagreb vs Vukovar,HNL,Croatia
,, EGYPT (1 matchs),,
158,02-04,Kahraba Ismailia vs Zamalek SC,Premier League,Egypt
